sample_index,last_5_mult_1,last_5_mult_2,last_5_mult_3,last_5_mult_4,last_5_mult_5,last_10_mult_1,last_10_mult_2,last_10_mult_3,last_10_mult_4,last_10_mult_5,last_10_mult_6,last_10_mult_7,last_10_mult_8,last_10_mult_9,last_10_mult_10,last_20_mult_1,last_20_mult_2,last_20_mult_3,last_20_mult_4,last_20_mult_5,last_20_mult_6,last_20_mult_7,last_20_mult_8,last_20_mult_9,last_20_mult_10,last_20_mult_11,last_20_mult_12,last_20_mult_13,last_20_mult_14,last_20_mult_15,last_20_mult_16,last_20_mult_17,last_20_mult_18,last_20_mult_19,last_20_mult_20,moving_average_5,moving_average_10,moving_average_20,standard_deviation_5,standard_deviation_10,standard_deviation_20,variance_20,max_20,min_20,median_20,volatility,range_20,skewness,kurtosis,entropy,very_low_count_10,low_count_10,medium_count_10,high_count_10,very_high_count_10,freq_very_low,freq_low,freq_medium,freq_high,freq_very_high,streak_low,streak_high,time_since_high,time_since_very_high,streak_medium,streak_very_low,momentum_5,momentum_10,ema_5,ema_10,slope_5,slope_10,label,category
25,0.557972,0.16823,0.106094,0.032229,0.06836,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.225893,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.03878,0.03281,0.04483,0.230171,0.199431,0.284615,0.081006,0.1967,0.0101,0.019,0.25395,0.1866,0.708337,0.178966,0.881353,0.6,0.1,0.1,0.2,0.0,0.4,0.1,0.3,0.1,0.1,0.15,0.0,0.2,0.55,0.0,0.1,-0.134954,-0.268124,0.0375,0.026549,-0.4878,-0.022848,1,LOW
26,0.16823,0.106094,0.032229,0.06836,0.123987,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.254601,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.0162,0.0335,0.0443,0.017309,0.197789,0.285617,0.081577,0.1967,0.0101,0.01725,0.257894,0.1866,0.710142,0.179207,0.906015,0.5,0.2,0.1,0.2,0.0,0.4,0.15,0.25,0.1,0.1,0.2,0.0,0.25,0.6,0.0,0.0,-0.634312,-0.243792,0.016559,0.025061,-0.0212,-0.068679,2,MEDIUM
27,0.106094,0.032229,0.06836,0.123987,0.215682,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.026539,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.01726,0.03503,0.044035,0.026523,0.194883,0.285954,0.081769,0.1967,0.0101,0.01725,0.259751,0.1866,0.712698,0.180363,0.906015,0.4,0.2,0.2,0.2,0.0,0.4,0.15,0.25,0.1,0.1,0.0,0.0,0.3,0.65,0.05,0.0,-0.608039,-0.204496,0.019328,0.035913,0.055,-0.104836,1,LOW
28,0.032229,0.06836,0.123987,0.215682,0.095166,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.112655,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.0171,0.0276,0.044245,0.026715,0.173359,0.285389,0.081447,0.1967,0.0101,0.01725,0.258008,0.1866,0.713877,0.181246,0.929775,0.4,0.3,0.2,0.1,0.0,0.35,0.2,0.25,0.1,0.1,0.05,0.0,0.35,0.7,0.0,0.0,-0.613516,-0.376201,0.017433,0.021487,0.0422,-0.053115,1,LOW
29,0.06836,0.123987,0.215682,0.095166,0.137079,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.204967,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.01854,0.02847,0.044345,0.022914,0.171646,0.285156,0.081314,0.1967,0.0101,0.01825,0.257216,0.1866,0.714013,0.181459,0.929775,0.3,0.4,0.2,0.1,0.0,0.35,0.2,0.25,0.1,0.1,0.1,0.0,0.4,0.75,0.0,0.0,-0.581915,-0.357988,0.018165,0.021227,0.016,-0.086048,1,LOW
30,0.123987,0.215682,0.095166,0.137079,0.131226,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.635456,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.01946,0.02912,0.043975,0.019674,0.17034,0.285874,0.081724,0.1967,0.0101,0.018,0.260034,0.1866,0.715049,0.181522,0.929775,0.2,0.5,0.2,0.1,0.0,0.35,0.25,0.2,0.1,0.1,0.15,0.0,0.45,0.8,0.0,0.0,-0.557476,-0.337806,0.018737,0.036665,-0.014,-0.11937,0,VERY_LOW
31,0.215682,0.095166,0.137079,0.131226,0.014692,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.014692,0.077668,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.014692,0.01806,0.01713,0.03518,0.026576,0.022903,0.236108,0.055747,0.1967,0.0101,0.017,0.268457,0.1866,0.945641,0.479753,0.879203,0.3,0.5,0.2,0.0,0.0,0.4,0.25,0.2,0.1,0.05,0.2,0.0,0.5,0.85,0.0,0.05,-0.48664,-0.513076,0.017283,0.017305,-0.0596,-0.004158,3,HIGH
32,0.095166,0.137079,0.131226,0.014692,0.583363,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.014692,0.583363,0.273887,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.014692,0.583363,0.04202,0.02964,0.041805,0.262344,0.196458,0.263967,0.069679,0.1967,0.0101,0.018,0.25257,0.1866,0.71462,0.197424,0.91352,0.3,0.5,0.1,0.1,0.0,0.35,0.25,0.2,0.15,0.05,0.0,0.05,0.0,0.9,0.0,0.0,0.005143,-0.290994,0.058941,0.040123,0.509,0.143394,1,LOW
33,0.137079,0.131226,0.014692,0.583363,0.092346,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.014692,0.583363,0.092346,0.646902,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.014692,0.583363,0.092346,0.04198,0.02954,0.040805,0.262446,0.196633,0.265479,0.070479,0.1967,0.0101,0.017,0.260241,0.1866,0.722125,0.200243,0.899415,0.3,0.5,0.1,0.1,0.0,0.35,0.3,0.15,0.15,0.05,0.05,0.0,0.05,0.95,0.0,0.0,0.028795,-0.276069,0.044828,0.034978,0.243,0.109964,0,VERY_LOW
34,0.131226,0.014692,0.583363,0.092346,0.060287,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.014692,0.583363,0.092346,0.060287,0.163168,0.016712,0.034093,0.476638,0.002161,0.035941,0.557972,0.16823,0.106094,0.032229,0.06836,0.123987,0.215682,0.095166,0.137079,0.131226,0.014692,0.583363,0.092346,0.060287,0.04086,0.0297,0.03163,0.265144,0.196282,0.197352,0.038948,0.1468,0.0101,0.0159,0.249576,0.1367,0.82687,0.286978,0.805775,0.3,0.5,0.1,0.1,0.0,0.4,0.3,0.15,0.15,0.0,0.1,0.0,0.1,1.0,0.0,0.05,0.291812,-0.061018,0.03422,0.031301,-0.0112,0.068218,0,VERY_LOW
